director,movie,rank,year,critic_cn,critic,critic_org
Wes Anderson, The Grand Budapest Hotel ,1,2014,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
John Crowley, Brooklyn ,2,2015,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
George Miller, Mad Max: Fury Road ,3,2015,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
Guillermo Del Toro, Pan's Labyrinth ,4,2006,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
Terry George, Hotel Rwanda ,5,2004,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
David O. Russell, Silver Linings Playbook ,6,2012,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
Alejandro González Iñárritu, Birdman ,7,2014,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
Christopher Nolan, Inception ,8,2010,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
David Fincher, The Curious Case of Benjamin Button ,9,2008,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
Quentin Tarantino, Inglourious Basterds ,10,2009,UAE,Anastasiya Lelyukh,Front Row Filmed Entertainment
Baz Luhrmann, Moulin Rouge! ,1,2001,UK,Guy Lodge,Variety/The Observer
Claire Denis, White Material ,2,2009,UK,Guy Lodge,Variety/The Observer
Jonathan Glazer, Birth ,3,2004,UK,Guy Lodge,Variety/The Observer
Michel Gondry, Eternal Sunshine of the Spotless Mind ,4,2004,UK,Guy Lodge,Variety/The Observer
Pedro Almodóvar, Talk to Her ,5,2002,UK,Guy Lodge,Variety/The Observer
Kelly Reichardt, Wendy and Lucy ,6,2008,UK,Guy Lodge,Variety/The Observer
Hayao Miyazaki, Spirited Away ,7,2001,UK,Guy Lodge,Variety/The Observer
Alfonso Cuarón, Gravity ,8,2013,UK,Guy Lodge,Variety/The Observer
Miguel Gomes, Tabu ,9,2012,UK,Guy Lodge,Variety/The Observer
Andrew Haigh, Weekend ,10,2011,UK,Guy Lodge,Variety/The Observer
Wong Kar-wai, In the Mood for Love ,1,2000,Cuba,Mario Naito López,Cuban Film Press Association
Kim Ki-duk," Spring, Summer, Fall, Winter…and Spring ",2,2003,Cuba,Mario Naito López,Cuban Film Press Association
David Cronenberg, A History of Violence ,3,2005,Cuba,Mario Naito López,Cuban Film Press Association
Pedro Almodóvar, Talk to Her ,4,2002,Cuba,Mario Naito López,Cuban Film Press Association
Todd Haynes, Carol ,5,2015,Cuba,Mario Naito López,Cuban Film Press Association
Lars von Trier, Melancholia ,6,2011,Cuba,Mario Naito López,Cuban Film Press Association
Michael Haneke, The White Ribbon ,7,2009,Cuba,Mario Naito López,Cuban Film Press Association
Andrey Zvyagintsev, The Return ,8,2003,Cuba,Mario Naito López,Cuban Film Press Association
Jean-Pierre and Luc Dardenne, The Child ,9,2005,Cuba,Mario Naito López,Cuban Film Press Association
Carlos Reygadas, Silent Light ,10,2007,Cuba,Mario Naito López,Cuban Film Press Association
Wong Kar-wai, In the Mood for Love ,1,2000,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Apichatpong Weerasethakul, Tropical Malady ,2,2004,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
David Lynch, Mulholland Drive ,3,2001,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Hou Hsiao-hsien, The Assassin ,4,2015,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Steve McQueen, Shame ,5,2011,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Hayao Miyazaki, Spirited Away ,6,2001,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Kathryn Bigelow, The Hurt Locker ,7,2008,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Maren Ade, Toni Erdmann ,8,2016,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Debra Granik, Winter's Bone ,9,2010,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Jacques Audiard, A Prophet ,10,2009,Germany,Verena Lueken,Frankfurter Allgemeine Zeitung
Duncan Jones, Moon ,1,2009,UK,Fiona Macdonald,BBC Culture
Paolo Sorrentino, The Great Beauty ,2,2013,UK,Fiona Macdonald,BBC Culture
Florian Henckel von Donnersmarck, The Lives of Others ,3,2006,UK,Fiona Macdonald,BBC Culture
Wong Kar-wai, In the Mood for Love ,4,2000,UK,Fiona Macdonald,BBC Culture
Agnès Jaoui, The Taste of Others ,5,2000,UK,Fiona Macdonald,BBC Culture
Damián Szifrón, Wild Tales ,6,2014,UK,Fiona Macdonald,BBC Culture
Paul Feig, Bridesmaids ,7,2011,UK,Fiona Macdonald,BBC Culture
Michel Gondry, Eternal Sunshine of the Spotless Mind ,8,2004,UK,Fiona Macdonald,BBC Culture
Joel and Ethan Coen," O Brother, Where Art Thou? ",9,2000,UK,Fiona Macdonald,BBC Culture
Quentin Tarantino, Inglourious Basterds ,10,2009,UK,Fiona Macdonald,BBC Culture
Nuri Bilge Ceylan, Once Upon a Time in Anatolia ,1,2011,India,Laya Maheshwari,Freelance film critic
Andrew Dominik, The Assassination of Jesse James by the Coward Robert Ford ,2,2007,India,Laya Maheshwari,Freelance film critic
David Fincher, The Social Network ,3,2010,India,Laya Maheshwari,Freelance film critic
Wes Anderson, The Grand Budapest Hotel ,4,2014,India,Laya Maheshwari,Freelance film critic
Peter Jackson, The Lord of the Rings: The Fellowship of the Ring ,5,2001,India,Laya Maheshwari,Freelance film critic
Terrence Malick, The Tree of Life ,6,2011,India,Laya Maheshwari,Freelance film critic
Leos Carax, Holy Motors ,7,2012,India,Laya Maheshwari,Freelance film critic
Abderrahmane Sissako, Timbuktu ,8,2014,India,Laya Maheshwari,Freelance film critic
Pablo Larraín, No ,9,2012,India,Laya Maheshwari,Freelance film critic
Guillermo Del Toro, Pan's Labyrinth ,10,2006,India,Laya Maheshwari,Freelance film critic
Ousmane Sembène, Moolaadé ,1,2004,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Rachid Bouchareb, Days of Glory ,2,2006,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Abderrahmane Sissako, Timbuktu ,3,2014,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Nouri Bouzid, Making Of ,4,2006,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Zhang Yimou, House of Flying Daggers ,5,2004,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Fernando Meirelles and Kátia Lund, City of God ,6,2002,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Rehad Desai, Miners Shot Down ,7,2014,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Mohamed Diab, 678 ,8,2010,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Oliver Schmitz, Hijack Stories ,9,2000,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Ari Folman, Waltz with Bashir ,10,2008,Namibia,Hans-Christian Mahnke,AfricAvenir.org
Joel and Ethan Coen, No Country For Old Men ,1,2007,US,Ben Mankiewicz,Turner Classic Movies
Tom McCarthy, Spotlight ,2,2015,US,Ben Mankiewicz,Turner Classic Movies
Paul Greengrass, United 93 ,3,2006,US,Ben Mankiewicz,Turner Classic Movies
Dror Moreh, The Gatekeepers ,4,2012,US,Ben Mankiewicz,Turner Classic Movies
Jonathan Glazer, Sexy Beast ,5,2000,US,Ben Mankiewicz,Turner Classic Movies
Asghar Farhadi, A Separation ,6,2011,US,Ben Mankiewicz,Turner Classic Movies
Christopher Nolan, Memento ,7,2000,US,Ben Mankiewicz,Turner Classic Movies
Clint Eastwood, Letters From Iwo Jima ,8,2006,US,Ben Mankiewicz,Turner Classic Movies
Adam McKay, Anchorman: The Legend of Ron Burgundy ,9,2004,US,Ben Mankiewicz,Turner Classic Movies
Darren Aronofsky, The Wrestler ,10,2008,US,Ben Mankiewicz,Turner Classic Movies
Thom Andersen, Los Angeles Plays Itself ,1,2003,Canada,Calum Marsh,Freelance film critic
David Lynch, Mulholland Drive ,2,2001,Canada,Calum Marsh,Freelance film critic
Jean-Luc Godard, Goodbye to Language ,3,2014,Canada,Calum Marsh,Freelance film critic
Hou Hsiao-hsien, Millennium Mambo ,4,2001,Canada,Calum Marsh,Freelance film critic
Kenneth Lonergan, Margaret ,5,2011,Canada,Calum Marsh,Freelance film critic
Mark Neveldine and Brian Taylor, Crank ,6,2006,Canada,Calum Marsh,Freelance film critic
Maren Ade, The Forest for the Trees ,7,2003,Canada,Calum Marsh,Freelance film critic
Michael Mann, Miami Vice ,8,2006,Canada,Calum Marsh,Freelance film critic
Hong Sang-soo, Woman on the Beach ,9,2006,Canada,Calum Marsh,Freelance film critic
Jean-Pierre and Luc Dardenne, The Son ,10,2002,Canada,Calum Marsh,Freelance film critic
Edward Yang, Yi Yi: A One and a Two ,1,2000,Italy,Lee Marshall,Screen International
Michael Haneke, The White Ribbon ,2,2009,Italy,Lee Marshall,Screen International
Andrea Arnold, Fish Tank ,3,2009,Italy,Lee Marshall,Screen International
Hayao Miyazaki, Spirited Away ,4,2001,Italy,Lee Marshall,Screen International
Abderrahmane Sissako, Timbuktu ,5,2014,Italy,Lee Marshall,Screen International
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",6,2007,Italy,Lee Marshall,Screen International
Joel and Ethan Coen, No Country For Old Men ,7,2007,Italy,Lee Marshall,Screen International
Aleksey Fedorchenko, Silent Souls ,8,2010,Italy,Lee Marshall,Screen International
Asghar Farhadi, A Separation ,9,2011,Italy,Lee Marshall,Screen International
Patricio Guzmán, Nostalgia for the Light ,10,2010,Italy,Lee Marshall,Screen International
Leos Carax, Holy Motors ,1,2012,Australia,Adrian Martin,Lola Magazine
Víctor Erice, Lifeline ,2,2002,Australia,Adrian Martin,Lola Magazine
Abbas Kiarostami, Certified Copy ,3,2010,Australia,Adrian Martin,Lola Magazine
Stephen Chow, Kung Fu Hustle ,4,2004,Australia,Adrian Martin,Lola Magazine
Peter Tscherkassky, Instructions for a Light and Sound Machine ,5,2005,Australia,Adrian Martin,Lola Magazine
Philippe Grandrieux, Un lac ,6,2008,Australia,Adrian Martin,Lola Magazine
Joseph Kahn, Detention ,7,2011,Australia,Adrian Martin,Lola Magazine
Rita Azevedo Gomes, A Vingança de Uma Mulher ,8,2012,Australia,Adrian Martin,Lola Magazine
Nanni Moretti, Mia Madre ,9,2015,Australia,Adrian Martin,Lola Magazine
Brian De Palma, Femme Fatale ,10,2002,Australia,Adrian Martin,Lola Magazine
Martin Scorsese, The Wolf of Wall Street ,1,2013,Chile,Antonio Martínez,El Mercurio
Joel and Ethan Coen, No Country For Old Men ,2,2007,Chile,Antonio Martínez,El Mercurio
Hayao Miyazaki, Spirited Away ,3,2001,Chile,Antonio Martínez,El Mercurio
Clint Eastwood, Million Dollar Baby ,4,2004,Chile,Antonio Martínez,El Mercurio
Roman Polanski, The Ghost Writer ,5,2010,Chile,Antonio Martínez,El Mercurio
Nanni Moretti, The Son's Room ,6,2001,Chile,Antonio Martínez,El Mercurio
David Cronenberg, A History of Violence ,7,2005,Chile,Antonio Martínez,El Mercurio
Pedro Almodóvar, Talk to Her ,8,2002,Chile,Antonio Martínez,El Mercurio
Sidney Lumet, Before the Devil Knows You're Dead ,9,2007,Chile,Antonio Martínez,El Mercurio
Woody Allen, Match Point ,10,2005,Chile,Antonio Martínez,El Mercurio
Olivier Assayas, Carlos ,1,2010,US,Todd McCarthy,The Hollywood Reporter
David Fincher, Zodiac ,2,2007,US,Todd McCarthy,The Hollywood Reporter
Andrey Zvyagintsev, Leviathan ,3,2014,US,Todd McCarthy,The Hollywood Reporter
David Lynch, Mulholland Drive ,4,2001,US,Todd McCarthy,The Hollywood Reporter
Andrew Dominik, The Assassination of Jesse James by the Coward Robert Ford ,5,2007,US,Todd McCarthy,The Hollywood Reporter
Brad Bird, The Incredibles ,6,2004,US,Todd McCarthy,The Hollywood Reporter
Alfonso Cuarón, Children of Men ,7,2006,US,Todd McCarthy,The Hollywood Reporter
Wes Anderson, Fantastic Mr Fox ,8,2009,US,Todd McCarthy,The Hollywood Reporter
Werner Herzog, Grizzly Man ,9,2005,US,Todd McCarthy,The Hollywood Reporter
Ang Lee, Brokeback Mountain ,10,2005,US,Todd McCarthy,The Hollywood Reporter
Alain Resnais, You Ain’t Seen Nothin’ Yet ,1,2012,US,Joe McElhaney,Hunter College
Chantal Akerman, No Home Movie ,2,2015,US,Joe McElhaney,Hunter College
Éric Rohmer, The Romance of Astrea and Celadon ,3,2009,US,Joe McElhaney,Hunter College
Manoel de Oliveira, The Strange Case of Angelica ,4,2010,US,Joe McElhaney,Hunter College
Michelangelo Antonioni, Michelangelo Eye to Eye ,5,2004,US,Joe McElhaney,Hunter College
Charles Burnett, Warming by the Devil's Fire ,6,2003,US,Joe McElhaney,Hunter College
Terrence Malick, The New World ,7,2005,US,Joe McElhaney,Hunter College
Hou Hsiao-hsien, Café Lumière ,8,2003,US,Joe McElhaney,Hunter College
Woody Allen, You Will Meet a Tall Dark Stranger ,9,2010,US,Joe McElhaney,Hunter College
Quentin Tarantino, The Hateful Eight ,10,2015,US,Joe McElhaney,Hunter College
Michel Gondry, Eternal Sunshine of the Spotless Mind ,1,2004,US,Drew McWeeny,HitFix
Ang Lee," Crouching Tiger, Hidden Dragon ",2,2000,US,Drew McWeeny,HitFix
Leos Carax, Holy Motors ,3,2012,US,Drew McWeeny,HitFix
Fernando Meirelles and Kátia Lund, City of God ,4,2002,US,Drew McWeeny,HitFix
Gaspar Noé, Enter the Void ,5,2009,US,Drew McWeeny,HitFix
John Cameron Mitchell, Hedwig and the Angry Inch ,6,2001,US,Drew McWeeny,HitFix
Lars von Trier, Melancholia ,7,2011,US,Drew McWeeny,HitFix
George Miller, Mad Max: Fury Road ,8,2015,US,Drew McWeeny,HitFix
Peter Jackson, The Lord of the Rings: The Fellowship of the Ring ,9,2001,US,Drew McWeeny,HitFix
Werner Herzog, Grizzly Man ,10,2005,US,Drew McWeeny,HitFix
Paul Thomas Anderson, Inherent Vice ,1,2014,US,Kim Morgan,Sight & Sound/Criterion
David Lynch, Mulholland Drive ,2,2001,US,Kim Morgan,Sight & Sound/Criterion
Lars von Trier, Melancholia ,3,2011,US,Kim Morgan,Sight & Sound/Criterion
Paul Thomas Anderson, There Will Be Blood ,4,2007,US,Kim Morgan,Sight & Sound/Criterion
Jonathan Glazer, Under the Skin ,5,2013,US,Kim Morgan,Sight & Sound/Criterion
Catherine Breillat, Fat Girl ,6,2001,US,Kim Morgan,Sight & Sound/Criterion
Joel and Ethan Coen, A Serious Man ,7,2009,US,Kim Morgan,Sight & Sound/Criterion
Kinji Fukasaku, Battle Royale ,8,2000,US,Kim Morgan,Sight & Sound/Criterion
Béla Tarr and Ágnes Hranitzky, The Turin Horse ,9,2011,US,Kim Morgan,Sight & Sound/Criterion
Werner Herzog, Bad Lieutenant: Port of Call New Orleans ,10,2009,US,Kim Morgan,Sight & Sound/Criterion
David Lynch, Mulholland Drive ,1,2001,UK,Kate Muir,The Times
Terrence Malick, The Tree of Life ,2,2011,UK,Kate Muir,The Times
André Singer, Night Will Fall ,3,2014,UK,Kate Muir,The Times
Steve McQueen, 12 Years a Slave ,4,2013,UK,Kate Muir,The Times
Lynne Ramsay, We Need to Talk About Kevin ,5,2011,UK,Kate Muir,The Times
Richard Linklater, Boyhood ,6,2014,UK,Kate Muir,The Times
Michael Haneke, Amour ,7,2012,UK,Kate Muir,The Times
Florian Henckel von Donnersmarck, The Lives of Others ,8,2006,UK,Kate Muir,The Times
Patricio Guzmán, Nostalgia for the Light ,9,2010,UK,Kate Muir,The Times
Andrea Arnold, Red Road ,10,2006,UK,Kate Muir,The Times
Richard Linklater, Before Midnight ,1,2013,US,Chris Nashawaty,Entertainment Weekly
Michel Gondry, Eternal Sunshine of the Spotless Mind ,2,2004,US,Chris Nashawaty,Entertainment Weekly
Steven Spielberg, Munich ,3,2005,US,Chris Nashawaty,Entertainment Weekly
David Fincher, The Social Network ,4,2010,US,Chris Nashawaty,Entertainment Weekly
Wes Anderson, The Grand Budapest Hotel ,5,2014,US,Chris Nashawaty,Entertainment Weekly
Jonathan Glazer, Sexy Beast ,6,2000,US,Chris Nashawaty,Entertainment Weekly
Yorgos Lanthimos, The Lobster ,7,2015,US,Chris Nashawaty,Entertainment Weekly
Quentin Tarantino, Inglourious Basterds ,8,2009,US,Chris Nashawaty,Entertainment Weekly
Christopher Guest, Best in Show ,9,2000,US,Chris Nashawaty,Entertainment Weekly
Ridley Scott, Gladiator ,10,2000,US,Chris Nashawaty,Entertainment Weekly
Edward Yang, Yi Yi: A One and a Two ,1,2000,US,Farran Smith Nehme,The New York Post/Film Comment
Asghar Farhadi, A Separation ,2,2011,US,Farran Smith Nehme,The New York Post/Film Comment
Spike Lee, 25th Hour ,3,2002,US,Farran Smith Nehme,The New York Post/Film Comment
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",4,2007,US,Farran Smith Nehme,The New York Post/Film Comment
Andrew Stanton, WALL-E ,5,2008,US,Farran Smith Nehme,The New York Post/Film Comment
Christian Petzold, Phoenix ,6,2014,US,Farran Smith Nehme,The New York Post/Film Comment
Ava DuVernay, Selma ,7,2014,US,Farran Smith Nehme,The New York Post/Film Comment
Abderrahmane Sissako, Timbuktu ,8,2014,US,Farran Smith Nehme,The New York Post/Film Comment
Asghar Farhadi, About Elly ,9,2009,US,Farran Smith Nehme,The New York Post/Film Comment
Manoel de Oliveira, I’m Going Home ,10,2001,US,Farran Smith Nehme,The New York Post/Film Comment
Joel and Ethan Coen, Inside Llewyn Davis ,1,2013,US,Joe Neumaier,WOR-710AM New York
Paul Thomas Anderson, There Will Be Blood ,2,2007,US,Joe Neumaier,WOR-710AM New York
Pete Docter, Inside Out ,3,2015,US,Joe Neumaier,WOR-710AM New York
Todd Haynes, Carol ,4,2015,US,Joe Neumaier,WOR-710AM New York
John Crowley, Brooklyn ,5,2015,US,Joe Neumaier,WOR-710AM New York
Ang Lee," Crouching Tiger, Hidden Dragon ",6,2000,US,Joe Neumaier,WOR-710AM New York
Richard Linklater, Boyhood ,7,2014,US,Joe Neumaier,WOR-710AM New York
Ryan Coogler, Fruitvale Station ,8,2013,US,Joe Neumaier,WOR-710AM New York
Derek Cianfrance, Blue Valentine ,9,2010,US,Joe Neumaier,WOR-710AM New York
Spike Jonze, Her ,10,2013,US,Joe Neumaier,WOR-710AM New York
Wolfgang Becker, Good Bye Lenin! ,1,2003,UAE,Chris Newbould,The National
Sofia Coppola, Lost in Translation ,2,2003,UAE,Chris Newbould,The National
Tom McCarthy, Spotlight ,3,2015,UAE,Chris Newbould,The National
Guillermo Del Toro, Pan's Labyrinth ,4,2006,UAE,Chris Newbould,The National
George Miller, Mad Max: Fury Road ,5,2015,UAE,Chris Newbould,The National
Uli Edel, The Baader Meinhof Complex ,6,2008,UAE,Chris Newbould,The National
Richard Linklater, Boyhood ,7,2014,UAE,Chris Newbould,The National
Danis Tanovic, No Man's Land ,8,2001,UAE,Chris Newbould,The National
Steven Soderbergh, Che ,9,2008,UAE,Chris Newbould,The National
Terry Zwigoff, Ghost World ,10,2001,UAE,Chris Newbould,The National
Charlie Kaufman," Synecdoche, New York ",1,2008,US,Amy Nicholson,MTV News
Michel Gondry, Eternal Sunshine of the Spotless Mind ,2,2004,US,Amy Nicholson,MTV News
Quentin Tarantino, Django Unchained ,3,2012,US,Amy Nicholson,MTV News
Wes Anderson, The Grand Budapest Hotel ,4,2014,US,Amy Nicholson,MTV News
Nick Cassavetes, Alpha Dog ,5,2006,US,Amy Nicholson,MTV News
Spike Jonze, Her ,6,2013,US,Amy Nicholson,MTV News
Jason Reitman, Young Adult ,7,2011,US,Amy Nicholson,MTV News
Christopher Nolan, The Dark Knight ,8,2008,US,Amy Nicholson,MTV News
Ben Stiller, Tropic Thunder ,9,2008,US,Amy Nicholson,MTV News
Alfonso Cuarón, Children of Men ,10,2006,US,Amy Nicholson,MTV News
Christopher Nolan, Memento ,1,2000,Singapore,Ong Soh Chin,Freelance
Park Chan-wook, Oldboy ,2,2003,Singapore,Ong Soh Chin,Freelance
Jafar Panahi, The Circle ,3,2000,Singapore,Ong Soh Chin,Freelance
Florian Henckel von Donnersmarck, The Lives of Others ,4,2006,Singapore,Ong Soh Chin,Freelance
Stephen Frears, Dirty Pretty Things ,5,2002,Singapore,Ong Soh Chin,Freelance
Lynne Ramsay, We Need to Talk About Kevin ,6,2011,Singapore,Ong Soh Chin,Freelance
Bart Layton, The Imposter ,7,2012,Singapore,Ong Soh Chin,Freelance
Ana Lily Amirpour, A Girl Walks Home Alone at Night ,8,2014,Singapore,Ong Soh Chin,Freelance
Bong Joon-ho, Mother ,9,2009,Singapore,Ong Soh Chin,Freelance
S. Craig Zahler, Bone Tomahawk ,10,2015,Singapore,Ong Soh Chin,Freelance
Richard Linklater, Boyhood ,1,2014,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Lars von Trier, Melancholia ,2,2011,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Paolo Sorrentino, The Great Beauty ,3,2013,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Michael Haneke, The White Ribbon ,4,2009,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Asghar Farhadi, A Separation ,5,2011,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Nuri Bilge Ceylan, Winter Sleep ,6,2014,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Hayao Miyazaki, Spirited Away ,7,2001,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Michel Hazanavicius, The Artist ,8,2011,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Harmony Korine, Spring Breakers ,9,2012,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Stephen Frears, The Queen ,10,2006,Switzerland,Susanne Ostwald,Neue Zürcher Zeitung
Michael Haneke, Caché ,1,2005,US,Matthew Patches,Thrillist
Hayao Miyazaki, Spirited Away ,2,2001,US,Matthew Patches,Thrillist
Michel Gondry, Eternal Sunshine of the Spotless Mind ,3,2004,US,Matthew Patches,Thrillist
Terrence Malick, The Tree of Life ,4,2011,US,Matthew Patches,Thrillist
Wes Anderson, The Grand Budapest Hotel ,5,2014,US,Matthew Patches,Thrillist
Rick Alverson, The Comedy ,6,2012,US,Matthew Patches,Thrillist
Kathryn Bigelow, Zero Dark Thirty ,7,2012,US,Matthew Patches,Thrillist
Joel and Ethan Coen, No Country For Old Men ,8,2007,US,Matthew Patches,Thrillist
Bong Joon-ho, Memories of Murder ,9,2003,US,Matthew Patches,Thrillist
Larry Charles, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,10,2006,US,Matthew Patches,Thrillist
Paul Thomas Anderson, There Will Be Blood ,1,2007,US,Steve Persall,Tampa Bay Times
Guillermo Del Toro, Pan's Labyrinth ,2,2006,US,Steve Persall,Tampa Bay Times
Alfonso Cuarón, Children of Men ,3,2006,US,Steve Persall,Tampa Bay Times
Ang Lee, Brokeback Mountain ,4,2005,US,Steve Persall,Tampa Bay Times
Christopher Nolan, The Dark Knight ,5,2008,US,Steve Persall,Tampa Bay Times
Cameron Crowe, Almost Famous ,6,2000,US,Steve Persall,Tampa Bay Times
Joel and Ethan Coen, A Serious Man ,7,2009,US,Steve Persall,Tampa Bay Times
Quentin Tarantino, Kill Bill: Vol. 1 ,8,2003,US,Steve Persall,Tampa Bay Times
Richard Kelly, Donnie Darko ,9,2001,US,Steve Persall,Tampa Bay Times
Joel and Ethan Coen," O Brother, Where Art Thou? ",10,2000,US,Steve Persall,Tampa Bay Times
Paul Thomas Anderson, There Will Be Blood ,1,2007,US,Michael Phillips,Chicago Tribune
Brad Bird and Jan Pinkava, Ratatouille ,2,2007,US,Michael Phillips,Chicago Tribune
Nuri Bilge Ceylan, Climates ,3,2006,US,Michael Phillips,Chicago Tribune
David Lynch, Mulholland Drive ,4,2001,US,Michael Phillips,Chicago Tribune
Alfonso Cuarón, Y Tu Mamá También ,5,2001,US,Michael Phillips,Chicago Tribune
Spike Jonze, Her ,6,2013,US,Michael Phillips,Chicago Tribune
Richard Linklater, Boyhood ,7,2014,US,Michael Phillips,Chicago Tribune
Lee Chang-dong, Poetry ,8,2010,US,Michael Phillips,Chicago Tribune
Wes Anderson, The Grand Budapest Hotel ,9,2014,US,Michael Phillips,Chicago Tribune
David Fincher, Zodiac ,10,2007,US,Michael Phillips,Chicago Tribune
Edward Yang, Yi Yi: A One and a Two ,1,2000,US,Keith Phipps,Uproxx
Alfonso Cuarón, Y Tu Mamá También ,2,2001,US,Keith Phipps,Uproxx
David Lynch, Mulholland Drive ,3,2001,US,Keith Phipps,Uproxx
Richard Linklater, Waking Life ,4,2001,US,Keith Phipps,Uproxx
Wong Kar-wai, In the Mood for Love ,5,2000,US,Keith Phipps,Uproxx
Wes Anderson, Moonrise Kingdom ,6,2012,US,Keith Phipps,Uproxx
Spike Lee, 25th Hour ,7,2002,US,Keith Phipps,Uproxx
Abbas Kiarostami, Certified Copy ,8,2010,US,Keith Phipps,Uproxx
Steven Spielberg, AI: Artificial Intelligence ,9,2001,US,Keith Phipps,Uproxx
Jim Jarmusch, Only Lovers Left Alive ,10,2013,US,Keith Phipps,Uproxx
Lars von Trier, Melancholia ,1,2011,Germany,Hannah Pilarczyk,Der Spiegel
Hayao Miyazaki, Spirited Away ,2,2001,Germany,Hannah Pilarczyk,Der Spiegel
Cristian Mungiu, Beyond the Hills ,3,2012,Germany,Hannah Pilarczyk,Der Spiegel
Tomas Alfredson, Let the Right One In ,4,2008,Germany,Hannah Pilarczyk,Der Spiegel
Sarah Polley, Stories We Tell ,5,2012,Germany,Hannah Pilarczyk,Der Spiegel
Todd Haynes, Carol ,6,2015,Germany,Hannah Pilarczyk,Der Spiegel
Cristi Puiu, The Death of Mr Lazarescu ,7,2005,Germany,Hannah Pilarczyk,Der Spiegel
Paul Thomas Anderson, The Master ,8,2012,Germany,Hannah Pilarczyk,Der Spiegel
Michael Haneke, Caché ,9,2005,Germany,Hannah Pilarczyk,Der Spiegel
Luke Fowler, All Divided Selves ,10,2011,Germany,Hannah Pilarczyk,Der Spiegel
Michael Haneke, The White Ribbon ,1,2009,France,Agnès C Poirier,Marianne
Nuri Bilge Ceylan, Winter Sleep ,2,2014,France,Agnès C Poirier,Marianne
Abderrahmane Sissako, Timbuktu ,3,2014,France,Agnès C Poirier,Marianne
Nanni Moretti, Mia Madre ,4,2015,France,Agnès C Poirier,Marianne
Andrey Zvyagintsev, The Return ,5,2003,France,Agnès C Poirier,Marianne
Lee Chang-dong, Oasis ,6,2002,France,Agnès C Poirier,Marianne
Pedro Almodóvar, Bad Education ,7,2004,France,Agnès C Poirier,Marianne
Michel Hazanavicius, The Artist ,8,2011,France,Agnès C Poirier,Marianne
Park Chan-wook, Oldboy ,9,2003,France,Agnès C Poirier,Marianne
Terence Davies, The House of Mirth ,10,2000,France,Agnès C Poirier,Marianne
Richard Linklater, Boyhood ,1,2014,US,Claudia Puig,Freelance film critic
Ang Lee," Crouching Tiger, Hidden Dragon ",2,2000,US,Claudia Puig,Freelance film critic
Steven Knight, Locke ,3,2013,US,Claudia Puig,Freelance film critic
Kathryn Bigelow, The Hurt Locker ,4,2008,US,Claudia Puig,Freelance film critic
Guillermo Del Toro, Pan's Labyrinth ,5,2006,US,Claudia Puig,Freelance film critic
Florian Henckel von Donnersmarck, The Lives of Others ,6,2006,US,Claudia Puig,Freelance film critic
Cary Joji Fukunaga, Sin Nombre ,7,2009,US,Claudia Puig,Freelance film critic
Alexander Payne, Nebraska ,8,2013,US,Claudia Puig,Freelance film critic
Ryan Coogler, Fruitvale Station ,9,2013,US,Claudia Puig,Freelance film critic
James Marsh, Man on Wire ,10,2008,US,Claudia Puig,Freelance film critic
